code,local_name,series,set_ids,prior_coverage,selection_reason,local_type,local_setcode,local_text_digest,segment_keys,official_cid,source_url,outcome,review_note
34090915,复烙印,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,131074,349,9b63a96fc0a490823f703acbddde2d80d8d72631d4476d7b42ea11460762553f,"m-pre,m1,m2",17808,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17808&ope=4&request_locale=ja,reviewed-added,①表侧除外光暗怪兽返回卡组后抽1；②对方召唤时对象复活己方深渊之兽。
34536828,烙印的使徒,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,131074,349,86d029afbd69be4debbccda6cad01f1908329d79a8a1b8735102eeacca167aa0,"m-pre,m1,m2",16858,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16858&ope=4&request_locale=ja,reviewed-added,①对方效果结算中非连锁无效效果；②攻击力0怪兽战斗后破坏对方怪兽。
34995106,白之烙印,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,2,349,0ac07d67b2bf3e72249c3a0d5590e3cc75f98bc3db7d86e615b59f8c4dc9bb23,"m-pre,m1,m2",16016,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16016&ope=4&request_locale=ja,reviewed-added,①结算时融合，墓地素材除外仅在用阿不思时允许；②为阿不思效果送墓并留墓后结束阶段盖放自身。
36637374,烙印开幕,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,65538,349,e9c3a574b80ab152dcf1350dc296ee6486226e1a9cf0222bbe2704b0f611af35,"m-pre,m1,m2",16243,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16243&ope=4&request_locale=ja,reviewed-added,①先效果丢弃后互斥检索／守备特召，非丢弃费用；②墓地自身除外作为破坏替代。
44362883,烙印融合,烙印,set:15d,reviewed,已有烙印融合和模块化展开使用场景；补齐完整系列,2,4587869,29faf5e329290a727b4a39b1f7380b39dba294dd141fd9427d91d8fa2853686f,"m-pre,m1",17066,https://www.db.yugioh-card.com/yugiohdb/card_search.action?cid=17066&ope=2&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
45675980,烙印的即凶剧,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,131076,349,4a1a69dc2168cec968d5e170968e79ae9d60e9a7b63d3a7ea4dfb340255b166b,"m-pre,m1,m2",18534,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=18534&ope=4&request_locale=ja,reviewed-added,①结算后立即同调召唤；②对方仪式／融合／同调／连接素材送墓改除外，不含超量。
60442460,被引导的烙印,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,131076,349,a0ae5eede29b3f6ff882ca747d844ca7d691b8551879033d81956751ae75de92,m1,18218,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=18218&ope=4&request_locale=ja,reviewed-added,两种响应条件均须直接连锁；墓地光暗对象除外成功后无效对方效果。
62022479,烙印的牵绊,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,2,349,d5cad541067d8b81532cffb089ebabb0754001af1406f13351f604e7bad98c9c,"m-pre,m1,m2",16244,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16244&ope=4&request_locale=ja,reviewed-added,①从手卡、墓地或除外区特召阿不思；②为其效果送墓并持续留墓后结束阶段自盖放。
67100549,烙印凶鸣,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,4,349,78174fdef0a089a410b8864dfe910ee25221390041c7faf1a59487013f75699e,"m-pre,m1,m2",16029,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16029&ope=4&request_locale=ja,reviewed-added,①本回合融合怪兽送墓后可从墓地／除外区复活融合怪兽；②结束阶段墓地自盖放。
72554664,烙印之光,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,65538,349,3feb9f7d8e15d248e7332c539a261bf4926cded7a42a18743cc50f253966f921,"m-pre,m1",18201,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=18201&ope=4&request_locale=ja,reviewed-added,先把双方场上／墓地融合怪兽对象回额外，再可让双方墓地各1只回各自场上。
81767888,烙印之剑,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,4,349,28d58ff8f1358f1f4da77d853074e05c83af41e0684e7ca083dad9630e49edd9,"m-pre,m1,m2",17067,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17067&ope=4&request_locale=ja,reviewed-added,①除外墓地烙印魔陷作为费用后同数产衍生物；②墓地自除外费用后回收除外怪兽。
82738008,赫之烙印,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,65538,349,b70a51e30027fba29d5b6d425249f676b2b9c8c1169c32e445818902b24b8cb9,"m-pre,m1",16543,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16543&ope=4&request_locale=ja,reviewed-added,回手成功后才可进行除外素材的融合召唤；回手、除外素材与融合召唤顺序分开。
87746184,烙印龙 白界龙,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,97,349,c7d7a92b5a1fa894a243f2e06da0ecd83111faf1172462e07be13639a18833dc,"m-pre,m1,m2",15994,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=15994&ope=4&request_locale=ja,reviewed-added,①融合素材在处理时除外；②持续留墓至结束阶段后从卡组回手或盖放一张烙印魔陷。
93595154,烙印的裁决,烙印,set:15d,none,已有烙印融合和模块化展开使用场景；补齐完整系列,4,349,511b91972e81e511441e9466881a7e7c252f160646dddfd2a6d494ccec7d65da,"m-pre,m1,m2",16030,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16030&ope=4&request_locale=ja,reviewed-added,①对象是己方融合怪兽，破坏对方符合攻击力门槛的全体怪兽；②阿不思发动送墓后自盖放。
99543666,烙印剧城 绝望死狱乡,烙印／死狱乡,set:15d|set:164,none,已有烙印融合和模块化展开使用场景；补齐完整系列,524290,23331165,9911af47f827838bb7fc2c4f947798091f81c227726264cee4da8e0d62453782,"m-pre,m1,m2",16242,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16242&ope=4&request_locale=ja,reviewed-added,场地①融合召唤，②己方非融合天使族被对方移走后复活墓地高星融合怪兽。
18666161,死狱乡演员·镜框舞台龙,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,97,356,5e811e66c303e3a7da47a3c5fee9c144447b9f523744e82a1331cda2e29b3cdf,"m-pre,m1,m2",16224,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16224&ope=4&request_locale=ja,reviewed-added,①快速效果结算时在除外和己方特召对方墓地额外怪兽之间择一；②战斗破坏后效果伤害。
36577931,悲剧之死狱乡演员,死狱乡,set:164,reviewed,与烙印共用融合资源，已有两张条目；补齐完整系列,33,356,130d23c808bcec7a4adf042a512f1cdea306e09bb718264bb932108db7ecb54b,"m-pre,m1,m2",16194,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16194&ope=4&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
45883110,引导的圣女 奎姆,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,4129,23331141,6c5e35d2f4652f8f15da89bf47e45097d69ec5ca27d46064dd788546530a5cf6,"m-pre,m1,m2",18474,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=18474&ope=4&request_locale=ja,reviewed-added,规则双系列身份独立于效果；①卡组送墓，②任一方额外卡组卡离开后对象墓地怪兽特召。
53971455,赫圣之妖骑士,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,8225,356,244c3091265fd2e5a3af5e010ecd60768a01186284af53cb5f5773b8face7ef3,"m-pre,m1,m2",18505,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=18505&ope=4&request_locale=ja,reviewed-added,①额外卡组有卡离开时先己方全体加攻，再可无对象地处理时选一张表侧卡无效；②结束阶段特召。
62962630,死狱乡的导化 阿鲁伯,死狱乡,set:164,reviewed,与烙印共用融合资源，已有两张条目；补齐完整系列,33,356,0e90e1c8b4c6778b8c6ac041fde36619e33656d5b83ae94040652fb955647237,"m-pre,m1,m2",16195,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16195&ope=4&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
62962631,死狱乡的导化 阿鲁伯,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,33,356,0e90e1c8b4c6778b8c6ac041fde36619e33656d5b83ae94040652fb955647237,"m-pre,m1,m2",16195,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16195&ope=4&request_locale=ja,reviewed-added,异画卡号单独记录；②以未被无效的对方效果怪兽为对象，自我复活成功后使其效果无效。
72272462,死狱乡演员·奎里蒂斯,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,97,356,2e86647958e13815c99caa28bd7225d6f9e64919de657f1d3eb59b105a81bf31,"m-pre,m1,m2",16223,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16223&ope=4&request_locale=ja,reviewed-added,①快速全场改攻但排除高星融合；②对方移走本卡后按实际去向发动，卡组回手／特召二选一。
81555617,死狱乡的凶剧,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,33,356,e2f66930c26fe6d72ee1739a05f1f1375823a6e52ad9f3e89eea1a2ea24f5c51,"m-pre,m1,m2",16497,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16497&ope=4&request_locale=ja,reviewed-added,①全场按等级加攻至对方回合结束；②自身作融合素材后从墓地／除外区对象复活。
90179822,喜剧之死狱乡演员,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,33,356,5621ca9b709b03b3d8e06b273f23c7202d86436656070d70f595ecab9fa5245e,"m-pre,m1,m2",16193,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16193&ope=4&request_locale=ja,reviewed-added,①手卡丢弃自身费用响应对方取对象效果并无效效果；②墓地解放融合怪兽费用后自特召。
99456344,死狱乡的大导剧神,死狱乡,set:164,none,与烙印共用融合资源，已有两张条目；补齐完整系列,33,356,02535cc800251cfb076c9bc39ca31a5497c450a96df21f075669bdb68f8dc764,"m-pre,m1,m2",16196,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16196&ope=4&request_locale=ja,reviewed-added,①响应额外怪兽特召取效果怪兽无效；②作融合素材进入墓地／除外区后自特召。
703897,自奏圣乐之阶,自奏圣乐,set:11b,reviewed,已有自奏圣乐之阶示例和展开场景；补齐完整系列,1048580,283,353b805c71ddcc863ddfd7059b481012cda27d9bb62b464718358ca54b62de9a,"m-pre,m1,m2",14324,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=14324&ope=4&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
3134857,自奏圣乐·管弦乐琴机械乐团,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,67108897,283,069742f2f88af7666faf54d4b7ace28896b7593a33cf094a65d8c738794d49e5,"m-pre,m1,m2",13932,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13932&ope=4&request_locale=ja,reviewed-added,①连接状态耐性；②三张己方除外机械怪兽回卡组，若对方有连接状态表侧怪兽则同步归零并无效。
4055337,自奏圣乐·梦幻崩影,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,33,17957147,7a8fc1b61a8eaae2259c57214dae8e68c46bf167a0e11877854d599e12a69203,"m-pre,m1,m2",14098,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=14098&ope=4&request_locale=ja,reviewed-added,②墓地自身除外费用与卡组送墓处理分开，成功送墓后加攻；暗属性自锁从处理后适用。
21441617,自奏圣乐·谐谑曲骷髅,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,33,283,2b7bfd0a2cbdd9c7b4f84a20d856b98fe8fcbfb6caae03747e5c071963c4bb86,"m-pre,m1",13902,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13902&ope=4&request_locale=ja,reviewed-added,墓地自身除外费用、对象复活及处理后暗属性自锁分别记录。
26845680,自奏圣乐的主音,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,2,283,052e43dd7b3fafdce7f7e765648c605b05a81a4f8dccf5845541ca6b543107cf,"m-pre,m1",13945,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13945&ope=4&request_locale=ja,reviewed-added,从手卡或己方表侧怪兽区送墓为费用，效果只抽2张。
29666221,自奏圣乐的起音,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,4,283,22baaee393d443062ea2913c823f67a86f661ac336ec38c62710094426815764,m1,13957,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13957&ope=4&request_locale=ja,reviewed-added,无前置次数文本；陷阱发动时解放己方系列／星遗物怪兽作为费用，取对方怪兽除外。
30741503,自奏圣乐·伽拉忒亚,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,67108897,283,8d170fc616efbda4f1fedb1bce058c7a1e5ec0048c6610d853852078da2633c0,"m-pre,m1,m2",13930,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13930&ope=4&request_locale=ja,reviewed-added,①连接状态战斗耐性；②先把除外机械怪兽回卡组，成功后可盖放系列魔陷。
47171541,自奏圣乐的释音,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,4,283,13973f13b300384331cc49c9080757525873606ffa1a21a7146c8b816c9be457,"m-pre,m1",14153,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=14153&ope=4&request_locale=ja,reviewed-added,费用为解放己方2只机械族；墓地目标数依对方连接怪兽有无而为1或2。
48835607,自奏圣乐·伽拉忒亚i,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,67108897,283,b0ff5fb08c1c35da6a8392c5388221cb58667a4cd2902098c663ee58f188c275,"m-pre,m1,m2",20947,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=20947&ope=4&request_locale=ja,reviewed-added,前置召唤次数及不能作超量素材均非效果；①送手卡到墓地是费用，②除外墓地其他系列卡也是费用。
55051920,自奏圣乐的延音,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,131076,283,38f64c39ebdd5224e4818d85605fa73c4a126c357f204ea0f4f2e19ad20a893b,"m1,m2",13958,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13958&ope=4&request_locale=ja,reviewed-added,①怪兽除外费用后给己方系列卡目标耐性；②本卡效果送墓替代其他系列卡破坏。
57835716,自奏圣乐·嬉游曲恶魔,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,33,283,fe0fd64a2eaf55f881cdd431e8fcfa689e9fd376fc405d87f84115b916ab3d64,"m-pre,m1",13903,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13903&ope=4&request_locale=ja,reviewed-added,墓地除外自身费用后从卡组特召其他自奏圣乐；暗属性自锁从处理后开始。
62834295,自奏圣乐的合奏起音,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,131074,283,ab2b5607c60f6880e60f543ab5fa369173f7d249ff7cf6c36bed4733be78b2e0,"m-pre,m1",13946,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13946&ope=4&request_locale=ja,reviewed-added,对方召唤后，结算时从己方手卡／卡组选怪兽送墓或除外，不取对象。
69811710,宵星之骑士 吉尔苏,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,33,18546956,0ae83d2b6e6fd0e331e82b616b0eb43560a90bb62bf4fe7f0b2368c0d751a596,"m-pre,m1,m2",15010,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=15010&ope=4&request_locale=ja,reviewed-added,①卡组送墓成功且同纵列另有两张卡才获得调整身份；②双方同时生成衍生物。
74820316,宵星之骑士 恩利尔吉尔苏,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,67108897,18546956,d6f13c0df0f96d8a1e56a718bb148d16cb12216588690e1ac8342d8ee2bc423b,"m-pre,m1,m2",20948,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=20948&ope=4&request_locale=ja,reviewed-added,①先回收除外卡，再可回手卡到卡组并夺取对方表侧怪兽；②墓地自身除外费用后送场上卡墓地。
76145142,自奏圣乐·朗吉尔苏,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,67108897,283,b5b5d6fff34c05db293505b73bd7afce1e4b252a076135a630bb4b2212a20366,"m-pre,m1,m2",13931,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13931&ope=4&request_locale=ja,reviewed-added,②回两只除外机械怪兽成功至少一只后可无对象送墓对方连接怪兽；本卡整回合不得攻击。
90351981,自奏圣乐的通天塔,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,524290,283,c5add75509987f284260cdc18647a2b5a6a635171287d99972c53a57529e84cb,"m1,m2",13944,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13944&ope=4&request_locale=ja,reviewed-added,①仅改变指定自奏圣乐效果可在对方回合发动的窗口；②非本回合送墓时支付手卡送墓费用自回手。
93854893,宵星之机神 丁吉尔苏,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,8388641,283,9872053079ebcd6441bc5b1542d412448eb64a4e4c9f7185d9b22c05ec7141b8,"m-pre,m1,m2",14288,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=14288&ope=4&request_locale=ja,reviewed-added,本地卡号93854893独立；①发动时选送墓或附素材，②取除1素材为破坏替代。
93854894,宵星之机神 丁吉尔苏,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,8388641,283,9872053079ebcd6441bc5b1542d412448eb64a4e4c9f7185d9b22c05ec7141b8,"m-pre,m1,m2",14288,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=14288&ope=4&request_locale=ja,reviewed-added,本地卡号93854894独立；①发动时选送墓或附素材，②取除1素材为破坏替代。
94046012,自奏圣乐·卡农曲大炮,自奏圣乐,set:11b,none,已有自奏圣乐之阶示例和展开场景；补齐完整系列,4129,283,50948647295e47199dca993ed17e5eff81b7cec0d414ae99ef06fd091acfa7f4,"m-pre,m1",13901,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13901&ope=4&request_locale=ja,reviewed-added,墓地除外自身费用后手卡特召其他自奏圣乐；处理后自锁暗属性。
2129638,青眼双爆裂龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,97,221,760350711805d458cd7f6e5a32fa5794b06d8165bcb916e5afc63fe6eebea248,"m-pre,m1,m2,m3",12252,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=12252&ope=4&request_locale=ja,reviewed-added,材料送墓的替代特殊召唤是非效果手续；①战斗耐性、②两次攻击、③未破坏目标后除外分开。
9433350,罪 青眼白龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,33554465,14483491,59cbeb8d7977e7862286ae21d2b00966f57c107c49bca11ed1c6206aa9b46179,"m-pre,m1,m2,m3",8864,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=8864&ope=4&request_locale=ja,reviewed-added,手卡特殊召唤及卡组除外是非效果手续；①同名罪存在限制，②己方攻击限制，③无场地魔法自毁。
11443677,青眼暴君龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,97,221,4e28f4f9f6dce584fe5478867516a650d743925f0f4906a90323d1c8f50fb56d,"m-pre,m1,m2,m3",16842,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=16842&ope=4&request_locale=ja,reviewed-added,①陷阱效果免疫，②对每只对方怪兽各攻击一次，③战斗后取墓地陷阱盖放。
20654247,青眼混沌龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,161,13566173,47adf5d92813b69e2ff45ed389357cb9d9bb447de7e2a761568801d01892a0e6,"m-pre,m1,m2",13842,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=13842&ope=4&request_locale=ja,reviewed-added,①效果破坏／对象耐性；②全体变表示与归零、随后贯通规则分开，不能把贯通当效果伤害。
23995346,青眼究极龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,65,221,d6871217e275c81346596b2d5404a756e9c2ee4ad44c3cd008b55cf8cb7600b0,m-all,4386,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=4386&ope=4&request_locale=ja,reviewed-added,本地卡号23995346独立记录，同卡文青眼究极龙异画共享官方cid 4386；无怪兽效果。
23995347,青眼究极龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,65,221,d6871217e275c81346596b2d5404a756e9c2ee4ad44c3cd008b55cf8cb7600b0,m-all,4386,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=4386&ope=4&request_locale=ja,reviewed-added,本地卡号23995347独立记录，同卡文青眼究极龙异画共享官方cid 4386；无怪兽效果。
23995348,青眼究极龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,65,221,d6871217e275c81346596b2d5404a756e9c2ee4ad44c3cd008b55cf8cb7600b0,m-all,4386,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=4386&ope=4&request_locale=ja,reviewed-added,本地卡号23995348独立记录，同卡文青眼究极龙异画共享官方cid 4386；无怪兽效果。
23995349,青眼究极龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,65,221,d6871217e275c81346596b2d5404a756e9c2ee4ad44c3cd008b55cf8cb7600b0,m-all,4386,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=4386&ope=4&request_locale=ja,reviewed-added,本地卡号23995349独立记录，同卡文青眼究极龙异画共享官方cid 4386；无怪兽效果。
23995350,青眼究极龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,65,221,d6871217e275c81346596b2d5404a756e9c2ee4ad44c3cd008b55cf8cb7600b0,m-all,4386,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=4386&ope=4&request_locale=ja,reviewed-added,本地卡号23995350独立记录，同卡文青眼究极龙异画共享官方cid 4386；无怪兽效果。
30397786,白色幻兽-青眼白龙,青眼,set:dd,none,已有系列展示、构筑和卡牌样本；补齐完整系列,33,14483483,50c5f40f37bfd1cc3e3d9b00e22a981472643bd3f89f2e30e89d64f078b126fd,"m-pre,m1,m2,m3",22716,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=22716&ope=4&request_locale=ja,reviewed-added,本地卡号30397786独立：①展示费用手卡特召，②处理后直接攻击自锁，③丢弃费用快速无效取本卡对象的效果。
